descSucursal,descProyecto,Actividad,tipoRestriccion,fechaRegistro
BOGOTA ,LOIRA CIUDAD LA SALLE,ZS LOCALES - Afinados sobre pisos y escaleras,Contratos,2024-03-19 00:00:00
BOGOTA ,METROPOLI 30,T2 Red de T.V,Contratos,2025-09-09 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,Montaje tableros electricos,Diseños,2024-06-11 00:00:00
BOGOTA ,BURDEOS CIUDAD LA SALLE,SOTANO CIM Pilotes Rediseño T1,Equipos,2024-07-19 00:00:00
BOGOTA ,PASEO DE SEVILLA,T-5 MORTERO AFINADO AREAS SOCIALyPRIVADA PISO 1-4,Contratos,2024-08-12 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,5TO CH - Inst. pisos punto fijo y salon de eventos,Contratos,2024-06-11 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,Z.SOC 1 BICI - Carpinteria metalica,Contratos,2025-03-13 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,TQ Inst sistema de bombeo agua potable,Contratos,2024-07-22 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T2 ENCHAPE PISOS COCINA PISO 1 A 19,Contratos,2024-03-19 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,"1ER CH - Inst. de Carpinteria metalica, aluminio y madera",Contratos,2024-06-11 00:00:00
BOGOTA ,LA PEÑA,Sendero peatonal T12-T7,Contratos,2024-07-12 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T2 INST. PISO AREA COMUN PASILLO PISO 1-19,Contratos,2024-03-19 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T2 MORTERO PUNTO FIJO ESCALERA 1,Contratos,2024-03-19 00:00:00
BOGOTA ,LINZ E1,TQ Lavado y desinfeccion tanque,Contratos,2024-07-17 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,T1 Suministro ventaneria fachada ppal,Contratos,2024-07-22 00:00:00
BOGOTA ,LINZ E1,PQDERO Mamposteria interna,Contratos,2024-06-19 00:00:00
BOGOTA ,LINZ E1,T1 SUPERBOARD MUROS pto fijo Perfiles,Contratos,2024-07-10 00:00:00
BOGOTA ,LINZ E1,T1 RED CI pto fijo Montante,Materiales,2024-07-03 00:00:00
BOGOTA ,LA ALMERIA ALSACIA RESERVADO,T2 CIM Solado torre,Equipos,2025-10-30 00:00:00
